Month,SKU,Facility,Excess_Inventory,Marginal,Lower,Upper,Scale
42,SKUT2,Austin,26233.833333333336,0.0,0.0,inf,1.0
102,SKUD1,Columbus,26230.857142857145,0.0,0.0,inf,1.0
78,SKUE1,Austin,26080.01190476191,0.0,0.0,inf,1.0
114,SKUD3,Columbus,25812.452380952353,0.0,0.0,inf,1.0
89,SKUT2,Austin,25408.833333333336,0.0,0.0,inf,1.0
55,SKUT3,Austin,25073.833333333332,0.0,0.0,inf,1.0
79,SKUE1,Austin,24880.619047619053,0.0,0.0,inf,1.0
112,SKUD1,Sacramento,24785.95238095238,0.0,0.0,inf,1.0
85,SKUT2,Austin,24755.833333333336,0.0,0.0,inf,1.0
90,SKUD1,Sacramento,24745.23809523809,0.0,0.0,inf,1.0
105,SKUT3,Austin,24740.833333333332,0.0,0.0,inf,1.0
82,SKUT2,Austin,24585.833333333336,0.0,0.0,inf,1.0
54,SKUT3,Austin,24585.833333333332,0.0,0.0,inf,1.0
102,SKUE1,Austin,24558.630952380947,0.0,0.0,inf,1.0
118,SKUE1,Austin,24544.29761904762,0.0,0.0,inf,1.0
41,SKUT2,Austin,24482.833333333336,0.0,0.0,inf,1.0
93,SKUT3,Austin,24381.833333333332,0.0,0.0,inf,1.0
68,SKUT3,Austin,24266.833333333332,0.0,0.0,inf,1.0
108,SKUT3,Austin,24134.833333333332,0.0,0.0,inf,1.0
120,SKUT3,Austin,24066.833333333332,0.0,0.0,inf,1.0
66,SKUE1,Austin,24009.869047619053,0.0,0.0,inf,1.0
92,SKUT3,Austin,23978.833333333332,0.0,0.0,inf,1.0
118,SKUD1,Columbus,23498.476190476184,0.0,0.0,inf,1.0
117,SKUE1,Austin,23317.26190476191,0.0,0.0,inf,1.0
88,SKUT3,Austin,23206.833333333332,0.0,0.0,inf,1.0
100,SKUT3,Austin,23095.833333333332,0.0,0.0,inf,1.0
80,SKUE1,Austin,23023.940476190473,0.0,0.0,inf,1.0
90,SKUE1,Austin,22837.095238095237,0.0,0.0,inf,1.0
33,SKUT2,Austin,22835.833333333336,0.0,0.0,inf,1.0
112,SKUE1,Austin,22751.095238095237,0.0,0.0,inf,1.0
19,SKUT2,Austin,22335.833333333336,0.0,0.0,inf,1.0
72,SKUT2,Austin,22287.833333333336,0.0,0.0,inf,1.0
65,SKUT3,Austin,22067.833333333332,0.0,0.0,inf,1.0
106,SKUE1,Austin,22007.29761904762,0.0,0.0,inf,1.0
114,SKUC2,Sacramento,21927.0,0.0,0.0,inf,1.0
56,SKUT3,Austin,21898.833333333332,0.0,0.0,inf,1.0
95,SKUT2,Austin,21882.833333333336,0.0,0.0,inf,1.0
101,SKUE1,Austin,21618.76190476191,0.0,0.0,inf,1.0
62,SKUT2,Austin,21524.833333333336,0.0,0.0,inf,1.0
