Month,Day,Facility,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
109,7,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,7,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,7,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,7,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,7,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,7,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,7,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,7,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,7,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,7,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,7,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,7,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,7,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,7,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,7,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,8,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,8,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,8,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,8,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,8,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,8,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,8,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,8,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,8,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,8,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,8,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,8,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,8,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,8,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,8,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,8,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,9,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,9,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,9,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,9,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,9,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,9,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,9,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,9,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,9,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,9,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,9,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,9,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,9,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,9,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,9,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,9,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,10,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,10,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,10,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
109,10,SYSTEM_TOTAL,Hazmat,9646656,21832.880952380954,0.22632589938296707
109,10,Columbus,Pallet,7259560,211486.47619047615,2.913213420516893
109,10,Columbus,Racking,4243200,56635.428571428565,1.3347338935574227
109,10,Columbus,Bins,233164800,106598.76190476191,0.04571820528002593
109,10,Columbus,Hazmat,6918400,21832.880952380954,0.31557702579181535
109,10,Sacramento,Pallet,3564450,211486.47619047615,5.933214835121159
109,10,Sacramento,Racking,3557216,56635.428571428565,1.592127904839868
109,10,Sacramento,Bins,7776000,106598.76190476191,1.3708688516558887
109,10,Sacramento,Hazmat,712896,21832.880952380954,3.062561853675845
109,10,Austin,Pallet,3583152,211486.47619047615,5.902246853900593
109,10,Austin,Racking,3107328,56635.428571428565,1.8226408210342957
109,10,Austin,Bins,10631520,106598.76190476191,1.0026671812192605
109,10,Austin,Hazmat,2015360,21832.880952380954,1.0833241183898141
109,11,SYSTEM_TOTAL,Pallet,14407162,211486.47619047615,1.4679259953520072
109,11,SYSTEM_TOTAL,Racking,10907744,56635.428571428565,0.5192222018726198
109,11,SYSTEM_TOTAL,Bins,251572320,106598.76190476191,0.04237300904358711
