Month,Day,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
113,2,Pallet,3583152,290051.04761904763,8.094857477970448
113,2,Racking,3107328,70941.61904761904,2.283042506218173
113,2,Bins,10631520,140133.5,1.3180946844853794
113,2,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,3,Pallet,3583152,290051.04761904763,8.094857477970448
113,3,Racking,3107328,70941.61904761904,2.283042506218173
113,3,Bins,10631520,140133.5,1.3180946844853794
113,3,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,4,Pallet,3583152,290051.04761904763,8.094857477970448
113,4,Racking,3107328,70941.61904761904,2.283042506218173
113,4,Bins,10631520,140133.5,1.3180946844853794
113,4,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,5,Pallet,3583152,290051.04761904763,8.094857477970448
113,5,Racking,3107328,70941.61904761904,2.283042506218173
113,5,Bins,10631520,140133.5,1.3180946844853794
113,5,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,6,Pallet,3583152,290051.04761904763,8.094857477970448
113,6,Racking,3107328,70941.61904761904,2.283042506218173
113,6,Bins,10631520,140133.5,1.3180946844853794
113,6,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,7,Pallet,3583152,290051.04761904763,8.094857477970448
113,7,Racking,3107328,70941.61904761904,2.283042506218173
113,7,Bins,10631520,140133.5,1.3180946844853794
113,7,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,8,Pallet,3583152,290051.04761904763,8.094857477970448
113,8,Racking,3107328,70941.61904761904,2.283042506218173
113,8,Bins,10631520,140133.5,1.3180946844853794
113,8,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,9,Pallet,3583152,290051.04761904763,8.094857477970448
113,9,Racking,3107328,70941.61904761904,2.283042506218173
113,9,Bins,10631520,140133.5,1.3180946844853794
113,9,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,10,Pallet,3583152,290051.04761904763,8.094857477970448
113,10,Racking,3107328,70941.61904761904,2.283042506218173
113,10,Bins,10631520,140133.5,1.3180946844853794
113,10,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,11,Pallet,3583152,290051.04761904763,8.094857477970448
113,11,Racking,3107328,70941.61904761904,2.283042506218173
113,11,Bins,10631520,140133.5,1.3180946844853794
113,11,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,12,Pallet,3583152,290051.04761904763,8.094857477970448
113,12,Racking,3107328,70941.61904761904,2.283042506218173
113,12,Bins,10631520,140133.5,1.3180946844853794
113,12,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,13,Pallet,3583152,290051.04761904763,8.094857477970448
113,13,Racking,3107328,70941.61904761904,2.283042506218173
113,13,Bins,10631520,140133.5,1.3180946844853794
113,13,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,14,Pallet,3583152,290051.04761904763,8.094857477970448
113,14,Racking,3107328,70941.61904761904,2.283042506218173
113,14,Bins,10631520,140133.5,1.3180946844853794
113,14,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,15,Pallet,3583152,290051.04761904763,8.094857477970448
113,15,Racking,3107328,70941.61904761904,2.283042506218173
113,15,Bins,10631520,140133.5,1.3180946844853794
113,15,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,16,Pallet,3583152,290051.04761904763,8.094857477970448
113,16,Racking,3107328,70941.61904761904,2.283042506218173
113,16,Bins,10631520,140133.5,1.3180946844853794
113,16,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,17,Pallet,3583152,290051.04761904763,8.094857477970448
113,17,Racking,3107328,70941.61904761904,2.283042506218173
113,17,Bins,10631520,140133.5,1.3180946844853794
113,17,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,18,Pallet,3583152,290051.04761904763,8.094857477970448
113,18,Racking,3107328,70941.61904761904,2.283042506218173
113,18,Bins,10631520,140133.5,1.3180946844853794
113,18,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,19,Pallet,3583152,290051.04761904763,8.094857477970448
113,19,Racking,3107328,70941.61904761904,2.283042506218173
113,19,Bins,10631520,140133.5,1.3180946844853794
113,19,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,20,Pallet,3583152,290051.04761904763,8.094857477970448
113,20,Racking,3107328,70941.61904761904,2.283042506218173
113,20,Bins,10631520,140133.5,1.3180946844853794
113,20,Hazmat,2015360,27520.380952380954,1.3655317636740312
113,21,Pallet,3583152,290051.04761904763,8.094857477970448
113,21,Racking,3107328,70941.61904761904,2.283042506218173
113,21,Bins,10631520,140133.5,1.3180946844853794
113,21,Hazmat,2015360,27520.380952380954,1.3655317636740312
114,1,Pallet,3583152,290528.9523809524,8.108195029989027
114,1,Racking,3107328,77651.47619047618,2.4989790646650816
114,1,Bins,10631520,140626.2619047619,1.3227295993871233
114,1,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,2,Pallet,3583152,290528.9523809524,8.108195029989027
114,2,Racking,3107328,77651.47619047618,2.4989790646650816
114,2,Bins,10631520,140626.2619047619,1.3227295993871233
114,2,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,3,Pallet,3583152,290528.9523809524,8.108195029989027
114,3,Racking,3107328,77651.47619047618,2.4989790646650816
114,3,Bins,10631520,140626.2619047619,1.3227295993871233
114,3,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,4,Pallet,3583152,290528.9523809524,8.108195029989027
114,4,Racking,3107328,77651.47619047618,2.4989790646650816
114,4,Bins,10631520,140626.2619047619,1.3227295993871233
114,4,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,5,Pallet,3583152,290528.9523809524,8.108195029989027
114,5,Racking,3107328,77651.47619047618,2.4989790646650816
114,5,Bins,10631520,140626.2619047619,1.3227295993871233
114,5,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,6,Pallet,3583152,290528.9523809524,8.108195029989027
114,6,Racking,3107328,77651.47619047618,2.4989790646650816
114,6,Bins,10631520,140626.2619047619,1.3227295993871233
114,6,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,7,Pallet,3583152,290528.9523809524,8.108195029989027
114,7,Racking,3107328,77651.47619047618,2.4989790646650816
114,7,Bins,10631520,140626.2619047619,1.3227295993871233
114,7,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,8,Pallet,3583152,290528.9523809524,8.108195029989027
114,8,Racking,3107328,77651.47619047618,2.4989790646650816
114,8,Bins,10631520,140626.2619047619,1.3227295993871233
114,8,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,9,Pallet,3583152,290528.9523809524,8.108195029989027
114,9,Racking,3107328,77651.47619047618,2.4989790646650816
114,9,Bins,10631520,140626.2619047619,1.3227295993871233
114,9,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,10,Pallet,3583152,290528.9523809524,8.108195029989027
114,10,Racking,3107328,77651.47619047618,2.4989790646650816
114,10,Bins,10631520,140626.2619047619,1.3227295993871233
114,10,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,11,Pallet,3583152,290528.9523809524,8.108195029989027
114,11,Racking,3107328,77651.47619047618,2.4989790646650816
114,11,Bins,10631520,140626.2619047619,1.3227295993871233
114,11,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,12,Pallet,3583152,290528.9523809524,8.108195029989027
114,12,Racking,3107328,77651.47619047618,2.4989790646650816
114,12,Bins,10631520,140626.2619047619,1.3227295993871233
114,12,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,13,Pallet,3583152,290528.9523809524,8.108195029989027
114,13,Racking,3107328,77651.47619047618,2.4989790646650816
114,13,Bins,10631520,140626.2619047619,1.3227295993871233
114,13,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,14,Pallet,3583152,290528.9523809524,8.108195029989027
114,14,Racking,3107328,77651.47619047618,2.4989790646650816
114,14,Bins,10631520,140626.2619047619,1.3227295993871233
114,14,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,15,Pallet,3583152,290528.9523809524,8.108195029989027
114,15,Racking,3107328,77651.47619047618,2.4989790646650816
114,15,Bins,10631520,140626.2619047619,1.3227295993871233
114,15,Hazmat,2015360,29831.595238095237,1.4802117357740174
114,16,Pallet,3583152,290528.9523809524,8.108195029989027
