Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,12,Columbus,The Write Stuff,International,33522.61905,620.7892416,1,74.49470899,17.2441456,weight,1,SKUW2
1,12,Columbus,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,12,Columbus,Bound to Learn,Domestic,1538489.286,74068.58631,35,97.68185941,58.78459231,weight,3,"SKUT1,SKUT2,SKUT3"
1,12,Columbus,Form & Function,Domestic,487740.4762,212172.1905,59,18.3706394,99.89274505,volume,2,"SKUD2,SKUC2"
1,12,Sacramento,The Write Stuff,International,47619.04762,952.7336861,2,52.91005291,13.23241231,weight,2,"SKUW1,SKUW3"
1,12,Sacramento,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,12,Sacramento,Bound to Learn,Domestic,22310.71429,650.7291667,1,49.57936508,18.07581019,weight,1,SKUT4
1,12,Sacramento,Form & Function,Domestic,65105,119049.1429,34,4.255228758,97.26237162,volume,1,SKUD3
1,12,Sacramento,VoltEdge,International,87200,13952,4,48.44444444,96.88888889,volume,1,SKUE3
1,12,Austin,Form & Function,Domestic,204051.4286,58609.07407,17,26.67338936,95.76646091,volume,2,"SKUD1,SKUC1"
1,12,Austin,VoltEdge,International,999924.7619,118386.2853,33,67.3350008,99.65175528,volume,2,"SKUE1,SKUE2"
1,13,Columbus,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,13,Columbus,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,13,Columbus,Bound to Learn,Domestic,27167.85714,792.3958333,1,60.37301587,22.01099537,weight,1,SKUT1
1,13,Columbus,Form & Function,Domestic,124210.7143,123974.619,35,7.886394558,98.3925548,volume,2,"SKUD1,SKUD3"
1,13,Sacramento,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,13,Sacramento,Bound to Learn,Domestic,1511321.429,73276.19048,34,98.77917834,59.86616869,weight,2,"SKUT2,SKUT3"
1,13,Sacramento,Form & Function,Domestic,527507.619,176103.4074,49,23.92324803,99.83186361,volume,2,"SKUC1,SKUC2"
1,13,Sacramento,VoltEdge,International,1042019.048,131468.1905,37,62.58372658,98.6998427,volume,2,"SKUE2,SKUE3"
1,13,Austin,The Write Stuff,International,48836.90476,975.2865961,2,54.26322751,13.54564717,weight,2,"SKUW1,SKUW2"
1,13,Austin,Bound to Learn,Domestic,22310.71429,650.7291667,1,49.57936508,18.07581019,weight,1,SKUT4
1,13,Austin,Form & Function,Domestic,105178.5714,89752.38095,25,9.349206349,99.72486772,volume,1,SKUD2
