sku,peak_inventory,avg_inventory,peak_to_avg_ratio,num_delayed_deliveries,total_delay_days,days_above_baseline,pct_days_above_baseline,simulation,k_factor,mean_delay,scenario
TotalInventory_Sim24,5530730.714285749,1917326.6896258567,2.8846052914253257,117,1555.7688412024127,1536,60.952380952380956,24,0.5,14.0,High Disruption
TotalInventory_Sim25,4047060.904761923,1782946.2387566173,2.269872650554087,120,1597.1494836882248,1501,59.56349206349206,25,0.5,14.0,High Disruption
TotalInventory_Sim26,4448542.6190476185,1646763.3140400592,2.7013855489249763,120,1927.900898204954,1249,49.56349206349206,26,0.5,14.0,High Disruption
TotalInventory_Sim27,4504938.428571428,1699680.2501889686,2.6504623019950806,119,1399.6937920697824,1373,54.48412698412698,27,0.5,14.0,High Disruption
TotalInventory_Sim28,4853144.000000008,1740202.6072562377,2.7888384833832185,119,1930.5084213788618,1454,57.698412698412696,28,0.5,14.0,High Disruption
TotalInventory_Sim29,5079802.142857163,1970534.0404950888,2.5778809391087116,120,1756.381382570928,1590,63.095238095238095,29,0.5,14.0,High Disruption
TotalInventory_Sim30,3993458.8571428573,1441794.7074452036,2.7697832683954635,120,1595.7893042187707,974,38.65079365079365,30,0.5,14.0,High Disruption
TotalInventory_Sim31,4188816.5238095284,1696283.6603552538,2.469408048729457,119,1356.1497894221714,1386,55.00000000000001,31,0.5,14.0,High Disruption
TotalInventory_Sim32,3981376.7619047733,1747437.5721844246,2.2784085825325144,120,1502.1470917240763,1446,57.38095238095238,32,0.5,14.0,High Disruption
TotalInventory_Sim33,4810826.476190492,1880211.7176492836,2.5586621075871077,119,1626.8974382149381,1599,63.45238095238095,33,0.5,14.0,High Disruption
TotalInventory_Sim34,4281420.047619044,1619709.932199546,2.6433251797159314,120,1870.089117383316,1211,48.05555555555556,34,0.5,14.0,High Disruption
TotalInventory_Sim35,3987537.380952383,1606323.1263038537,2.482400530538148,119,1625.4539694802875,1299,51.547619047619044,35,0.5,14.0,High Disruption
TotalInventory_Sim36,3917001.9047619207,1849770.0959939547,2.117561481421377,119,1400.0915709204642,1487,59.007936507936506,36,0.5,14.0,High Disruption
TotalInventory_Sim37,3924273.19047619,1491641.2845805013,2.6308424358070948,118,1530.9567514909947,1056,41.904761904761905,37,0.5,14.0,High Disruption
TotalInventory_Sim38,4385768.142857141,1406984.8743197266,3.1171395108121884,120,1859.9818334851961,960,38.095238095238095,38,0.5,14.0,High Disruption
TotalInventory_Sim39,4252956.285714292,1593697.024773245,2.6686102939292446,119,1825.9060279270022,1239,49.166666666666664,39,0.5,14.0,High Disruption
TotalInventory_Sim40,4152455.1428571506,1565617.8316326565,2.652278901631371,119,1605.9490173880633,1172,46.507936507936506,40,0.5,14.0,High Disruption
TotalInventory_Sim41,4755334.714285727,1681736.4302154183,2.8276337652247934,119,1830.3368638627421,1340,53.17460317460318,41,0.5,14.0,High Disruption
TotalInventory_Sim42,4276751.714285719,1823286.6192554762,2.3456277631391247,119,1642.1759114137776,1506,59.76190476190476,42,0.5,14.0,High Disruption
TotalInventory_Sim43,4222717.714285723,1549307.2167422571,2.725552213695145,120,1510.89264333087,1253,49.72222222222222,43,0.5,14.0,High Disruption
TotalInventory_Sim44,4177797.1428571516,1421200.769992444,2.939624879938225,120,1386.8302891392668,910,36.11111111111111,44,0.5,14.0,High Disruption
TotalInventory_Sim45,4317170.142857143,1777643.9981670452,2.4285909593308,118,1721.0735565889145,1421,56.388888888888886,45,0.5,14.0,High Disruption
TotalInventory_Sim46,4416393.285714292,1640331.3352418737,2.6923787839870026,116,1367.2399477330162,1278,50.71428571428571,46,0.5,14.0,High Disruption
TotalInventory_Sim47,4568383.809523808,1943916.657728641,2.350092423644186,120,1495.0362831979191,1570,62.301587301587304,47,0.5,14.0,High Disruption
TotalInventory_Sim48,3876685.809523815,1614923.683219957,2.400538087220435,119,1583.7569270148863,1319,52.34126984126984,48,0.5,14.0,High Disruption
TotalInventory_Sim49,4561861.761904777,1407318.6345427092,3.241527291640743,118,1566.1710552575457,889,35.27777777777778,49,0.5,14.0,High Disruption
TotalInventory_Sim50,4682911.190476195,1778153.9349773251,2.633580309533725,119,1841.8392228312978,1498,59.44444444444444,50,0.5,14.0,High Disruption
