t_month,t_day,sup,f,level,marginal,lower,upper,scale
12,14,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,14,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,14,International,Austin,0.0,-0.0,0.0,inf,1.0
12,15,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,15,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,15,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,15,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,15,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,15,International,Austin,0.0,-0.0,0.0,inf,1.0
12,16,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,16,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,16,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,16,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,16,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,16,International,Austin,0.0,-0.0,0.0,inf,1.0
12,17,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,17,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,17,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,17,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,17,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,17,International,Austin,0.0,-0.0,0.0,inf,1.0
12,18,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,18,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,18,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,18,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,18,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,18,International,Austin,0.0,-0.0,0.0,inf,1.0
12,19,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,19,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,19,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,19,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,19,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,19,International,Austin,0.0,-0.0,0.0,inf,1.0
12,20,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,20,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,20,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,20,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,20,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,20,International,Austin,0.0,-0.0,0.0,inf,1.0
12,21,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
12,21,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
12,21,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
12,21,International,Columbus,0.0,-0.0,0.0,inf,1.0
12,21,International,Sacramento,0.0,-0.0,0.0,inf,1.0
12,21,International,Austin,0.0,-0.0,0.0,inf,1.0
13,1,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,1,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,1,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,1,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,1,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,1,International,Austin,0.0,-0.0,0.0,inf,1.0
13,2,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,2,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,2,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,2,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,2,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,2,International,Austin,0.0,-0.0,0.0,inf,1.0
13,3,Domestic,Columbus,196784.7806845238,0.0,0.0,inf,1.0
13,3,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,3,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,3,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,3,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,3,International,Austin,0.0,-0.0,0.0,inf,1.0
13,4,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
13,4,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
13,4,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
13,4,International,Columbus,0.0,-0.0,0.0,inf,1.0
13,4,International,Sacramento,0.0,-0.0,0.0,inf,1.0
13,4,International,Austin,0.0,-0.0,0.0,inf,1.0
